output|İyi Akşamlar
output1|İyi Geceler
output2|Günaydın
output3|Pırasa
output4|Bana yardımcı olur musunuz ?
output5|Anlamıyorum
output6|Nasılsın
output7|Naber
output8|Kaç Yaşındasın
output9|Rica ederim.
output10|Üzgünüm.
output11|Afedersiniz.
output12|Her şey yolunda.
output13|Sorun değil.
output14|Merhaba !
output15|Selam !
output16|Selamlar
output17|İyi Günler
output18|Teşekkür ederim.
output19|Ağır ağır yürüyeceksin bu merdivenleri.
output20|Dikkat et.
output21|Acıktım
output22|Susadım
output23|Yorgunum
output24|Hastayım
output25|Bilmiyorum
output26|Tanıştığıma memnun oldum.
output27|Güle güle
output28|Bir saatten fazla bir süredir bekliyoruz.
output29|Paramı geri istiyorum !
output30|Bu tamamen kabul edilemez bir şey!
output31|Burada sorumlu kim ?
output32|Bir şikayette bulunmak istiyorum.
output33|Aynen öyle
output34|Aynen
output35|Kesinlikle
output36|Mükemmel
output37|Harika
output38|Çocukça
output39|Şelale
output40|Deyimler
output41|Rabia
output42|Râbia
output43|Cesurun Yükselişi
output44|Yağıp gürlemek
output45|Şikayet
output46|Masaüstü
output47|Falçata
output48|Parça
output49|Hakkı
output50|Çömez
output51|Şemsiye
output52|Bu bir test cümlesidir.
output53|Ölçü aletlerinin doğru kullanımı.
output54|Bir şişe şarap.
output55|Yolum düşer Fatsa'ya !
output56|Savaş Sanatı
output57|Difüzyon
output58|Çekirdek çitlemek
output59|Aradan çok yıllar geçti.
output60|Aba altında er yatar
output61|Acele ile menzil alınmaz
output62|Acele yürüyen yolda kalır
output63|Acı acıyı keser, su sancıyı
output64|Acı patlıcanı kırağı çalmaz
output65|Aç kurt aslana saldırır
output66|Açık yaraya tuz ekilmez
output67|Adam adamı bir kez aldatır
output68|Adam olana bir söz yeter
output69|Ağacı kurt, insanı dert yer
output70|Ağacın kurdu içinde olur
output71|Ağaç kökünden yıkılır
output72|Ağaç yaşken eğilir
output73|Ağaçtan maşa olmaz
output74|Ağır git ki yol alasın
output75|Ağır otur ki bey desinler
output76|Ağır kazan geç kaynar
output77|Ağlamakla yâr ele geçmez
output78|Ağrısız baş mezarda olur
output79|Akacak kan damarda durmaz
output80|Ak akçe kara gün içindir
output81|Akıl yaşta değil baştadır
output82|Al elmaya taş atan çok olur
output83|Alıcı kuşun ömrü az olur
output84|Allah kulunu kısmeti ile yaratır
output85|Altın yere düşmekle pul olmaz
output86|Altının kıymetini sarraf bilir
output87|Aman diyene kılıç kalkmaz
output88|Arı bal alacak çiçeği bilir
output89|Armut dalının dibine düşer
output90|Arpa eken buğday biçmez
output91|Asıl azmaz, bal kokmaz
output92|Aslan yatağından belli olur
output93|At binenin, kılıç kuşananın
output94|Ateş düştüğü yeri yakar
output95|Ava giden avlanır
output96|Ayağını yorganına göre uzat
output97|Az tamah çok ziyan getirir
output98|Bağı ağlayanın yüzü güler
output99|Bal tutan parmağını yalar
output100|Balık baştan avlanır
output101|Balık baştan kokar
output102|Bal tutan parmağını yalar
output103|Bal olan yerde sinek de olur
output104|Balta değmedik ağaç olmaz
output105|Başa gelmeyince bilinmez
output106|Bedava sirke baldan tatlıdır
output107|Bıçak kınını kesmez
output108|Bin tasa bir borç ödemez
output109|Bir çöplükte iki horoz  ötmez
output110|Boğaz dokuz boğumdur
output111|Borç yiğidin kamçısıdır
output112|Can boğazdan gelir
output113|Can canın yoldaşıdır
output114|Cana gelecek mala gelsin
output115|Canımı sokakta bulmadım
output116|Çıkmadık canda umut var
output117|Çıngıraklı deve kaybolmaz
output118|Çivi çıkar ama yeri kalır
output119|Çivi çiviyi söker
output120|Çocuk düşe kalka büyür
output121|Çoğu gitti, azı kaldı
output122|Çoğu zarar, azı karar
output123|Çok bilen çok yanılır
output124|Çok naz âşık usandırır
output125|Çul içinde aslan yatar
output126|Damlaya damlaya göl olur
output127|Delik büyük, yama küçük
output128|Dert ağlatır, aşk söyletir
output129|Dikensiz gül olmaz
output130|Doğru söz acıdır
output131|Dost acı söyler
output132|Dün öleni dün gömerler
output133|Eğilen baş kesilmez
output134|Eğreti ata binen tez iner
output135|Ekmek aslanın ağzında
output136|Ekmek istemez su istemez
output137|El için ağlayan gözden olur
output138|El kazanıyla aş kaynamaz
output139|Elçiye zeval olmaz
output140|Erken kalkan yol alır
output141|Etle tırnak arasına girilmez
output142|Etme bulma dünyası
output143|Ev alma, komşu al
output144|Geç olsun da güç olmasın
output145|Gelen gideni aratır
output146|Gelene git denilmez
output147|Güneş balçıkla sıvanmaz
output148|Hak yerini bulur
output149|Hamama giren terler
output150|Hastaya döşek sorulmaz
output151|Hatasız kul olmaz
output152|Her ağaçtan kaşık olmaz
output153|Her işte bir hayır vardır
output154|Her kuşun eti yenmez
output155|Herkes bildiğini okur
output156|Ismarlama hac, hac olmaz
output157|İbadet de gizli, kabahat de
output158|İki aslan bir posta sığmaz
output159|İki at bir kazığa bağlanmaz
output160|İki deliye bir uslu koymuşlar
output161|İki kaptan bir gemiyi batırır
output162|İki el, bir baş için
output163|İki emini bir yemin aralar
output164|İki kere iki dört eder
output165|İki ölç bir biç
output166|İnsan beşer, kuldur şaşar
output167|İnsan kıymetini insan bilir
output168|İp inceldiği yerden kopar
output169|İp koptuğu yerden bağlanır
output170|İş insanın aynasıdır
output171|İş olacağına varır
output172|İştah dişin dibindedir
output173|İyilik eden iyilik bulur
output174|İyilik iki baştan olur
output175|Kaçanın anası ağlamamış
output176|Kalaylı bakır küflenmez
output177|Kanaat gibi devlet olmaz
output178|Kar susuzluk kandırmaz
output179|Kavgada kılıç ödün vermez
output180|Kaza geliyorum demez
output181|Kepenek altında er yatar
